,name,rating,reviews,type,hq,old,employees
0,Statestreet HCL ...,3.3,(1.8k Reviews),Private,New Delhi + 12 more,11 years old,5k-10k Employees (India)
1,Marpu Foundation...,4.9,(1.8k Reviews),Hyderabad/Secunderabad + 34 more,7 years old,11-50 Employees (India),
2,Lenskart,3.2,(1.8k Reviews),Private,"Faridabad,Haryana + 136 more",13 years old,1k-5k Employees (India)
3,Max Healthcare,4.2,(1.8k Reviews),Partnership,"Delhi/NCR,New Delhi + 52 more",22 years old,1k-5k Employees (India)
4,Tech Mahindra Bu...,3.5,(1.8k Reviews),Public,"Mumbai,Maharashtra + 37 more",20 years old,1k-5k Employees (India)
5,Mankind Pharma,4.2,(1.8k Reviews),Private,"New Delhi,Delhi + 162 more",28 years old,5k-10k Employees (India)
6,Walmart,4.1,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 71 more",14 years old,5k-10k Employees (India)
7,AGS Health,4.0,(1.8k Reviews),Private,Washington DC + 29 more,12 years old,10k-50k Employees (India)
8,Square Yards,3.9,(1.8k Reviews),Private,"Gurgaon,Haryana + 37 more",10 years old,1k-5k Employees (India)
9,Zensar Technolog...,3.8,(1.8k Reviews),Public,"Pune,Maharashtra + 19 more",22 years old,5k-10k Employees (India)
10,Nestle,4.1,(1.8k Reviews),Public,Vevey + 203 more,64 years old,5k-10k Employees (India)
11,Fortis Healthcar...,4.0,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 53 more",27 years old,5k-10k Employees (India)
12,Blue Dart Expres...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 213 more",40 years old,10k-50k Employees (India)
13,Tata Technologie...,3.7,(1.7k Reviews),Private,Singapore + 41 more,34 years old,5k-10k Employees (India)
14,Landmark Group,4.1,(1.7k Reviews),Private,"Dubai Marina,Dubai + 125 more",50 years old,1k-5k Employees (India)
15,Ola Cabs,3.6,(1.7k Reviews),Private,Bangalore + 87 more,13 years old,501-1k Employees (India)
16,Fiserv,3.7,(1.7k Reviews),Private,"Brookfield,Wisconsin + 25 more",39 years old,5k-10k Employees (India)
17,Future Retail,4.3,(1.7k Reviews),Public,"San Francisco,California + 191 more",36 years old,10k-50k Employees (India)
18,Birla Sun Life I...,4.3,(1.7k Reviews),Private,"Mumbai,Maharashtra + 321 more",23 years old,10k-50k Employees (India)
19,HDFC Sales,4.0,(1.7k Reviews),Private,"Mumbai,Maharashtra + 245 more",19 years old,10k-50k Employees (India)
20,Lifestyle,4.4,(1.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 101 more",24 years old,10k-50k Employees (India)
21,I Process Servic...,3.9,(1.7k Reviews),Private,"Mumbai,Maharashtra + 241 more",18 years old,1k-5k Employees (India)
22,Societe Generale,3.8,(1.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",23 years old,1k-5k Employees (India)
23,Eureka Forbes,4.0,(1.7k Reviews),Private,"Mumbai,Maharashtra + 150 more",41 years old,5k-10k Employees (India)
24,Rivigo,3.9,(1.7k Reviews),Private,"Gurgaon,Haryana + 145 more",9 years old,1k-5k Employees (India)
25,IGT Solutions,3.5,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",25 years old,5k-10k Employees (India)
26,JMC Projects,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 108 more",41 years old,1k-5k Employees (India)
27,The Himalaya Dru...,4.1,(1.7k Reviews),Private,"San Francisco,California + 175 more",93 years old,1k-5k Employees (India)
28,BlackBuck,3.9,(1.7k Reviews),Private,"Bangalore,Karnataka + 257 more",8 years old,501-1k Employees (India)
29,Extramarks Educa...,3.6,(1.7k Reviews),Private,"Noida,Uttar Pradesh + 94 more",16 years old,1k-5k Employees (India)
